slug,title_ru,title_ro,description_ru,description_ro,duration,difficulty,category
classic-back-massage,Классический массаж спины,Masaj clasic al spatelui,Полный протокол классического массажа спины включающий все основные техники: поглаживание, растирание, разминание и вибрацию.,Protocol complet de masaj clasic al spatelui care include toate tehnicile de bază: alinare effleurage растирare și vibrație.,60,beginner,therapeutic
deep-tissue-back,Глубокий массаж спины,Masaj profund al spatelui,Интенсивный протокол работы с глубокими слоями мышечной ткани спины. Работа с хроническими напряжениями и триггерными точками.,Protocol intensiv de lucru cu straturile profunde ale țesutului muscular al spatelui. Lucru cu tensiuni cronice și puncte trigger.,75,advanced,therapeutic
relaxation-full-body,Расслабляющий массаж всего тела,Masaj de relaxare corp întreg,Мягкий расслабляющий протокол для снятия стресса и общего расслабления. Включает работу со всеми основными зонами тела.,Protocol blând de relaxare pentru reducerea stresului și relaxarea generală. Include lucrul cu toate zonele principale ale corpului.,90,beginner,relaxation
sports-legs,Спортивный массаж ног,Masaj sportiv al picioarelor,Протокол массажа для спортсменов. Восстановление после нагрузок фокус на крупные мышечные группы ног.,Protocol de masaj pentru sportivi. Recuperare după efort cu focus pe grupele musculare mari ale picioarelor.,45,intermediate,sports
anti-cellulite,Антицеллюлитный массаж,Masaj anticelulitic,Специализированный протокол для работы с проблемными зонами. Включает лимфодренаж глубокую проработку и специальные техники.,Protocol specializat pentru lucrul cu zonele problematice. Include drenaj limfatic lucru profund și tehnici speciale.,60,intermediate,aesthetic
lymphatic-drainage,Лимфодренажный массаж,Masaj de drenaj limfatic,Мягкий протокол для стимуляции лимфотока. Помогает при отеках и для детоксикации организма.,Protocol blând pentru stimularea fluxului limfatic. Ajută la edeme și pentru detoxifierea organismului.,60,intermediate,therapeutic
prenatal-massage,Массаж для беременных,Masaj prenatal,Специальный протокол массажа для беременных женщин. Безопасные техники для снятия напряжения в спине и ногах.,Protocol special de masaj pentru femei gravide. Tehnici sigure pentru ameliorarea tensiunii în spate și picioare.,60,intermediate,therapeutic
neck-shoulders,Массаж шеи и плеч,Masaj gât și umeri,Целевой протокол для офисных работников. Работа с напряжением в шейно-воротниковой зоне.,Protocol țintit pentru lucrătorii de birou. Lucru cu tensiunea din zona cervicală și a umerilor.,30,beginner,therapeutic
facial-massage,Массаж лица,Masaj facial,Протокол косметического массажа лица. Улучшение кровообращения лимфодренаж работа с мимическими мышцами.,Protocol de masaj cosmetic facial. Îmbunătățirea circulației drenaj limfatic lucru cu mușchii mimici.,45,intermediate,aesthetic
hot-stone-massage,Массаж горячими камнями,Masaj cu pietre calde,Термотерапия в сочетании с классическим массажем. Глубокое расслабление и работа с мышечными напряжениями.,Termoterapie combinată cu masaj clasic. Relaxare profundă și lucru cu tensiunile musculare.,90,advanced,relaxation
trigger-point-therapy,Терапия триггерных точек,Terapia punctelor trigger,Специализированный протокол работы с миофасциальными триггерными точками. Техники ишемической компрессии и освобождения.,Protocol specializat de lucru cu puncte trigger miofasciale. Tehnici de compresie ischemică și eliberare.,60,advanced,therapeutic
thai-massage,Тайский массаж,Masaj thailandez,Традиционный протокол тайского массажа. Работа с энергетическими линиями растяжки и акупрессура.,Protocol tradițional de masaj thailandez. Lucru cu liniile energetice stretching și acupresură.,120,advanced,traditional
